Year,     Jan,      Feb,      Mar,      Apr,      May,      Jun,      Jul,      Aug,      Sep,      Oct,      Nov,      Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1919,-9.8,-17.4,-13.2,-2,0.9,4,6.8,5.7,2.5,-3.1,-13.3,-12.7,-4.3,-12.8,-4.8,5.5,-4.6
1920,-18.7,-15.3,-9.4,-6.3,-3.1,3.8,8.5,5.8,2.4,0.8,-3.2,-10,-3.7,-15.6,-6.3,6,0
1921,-15.9,-11.3,-7.7,-2.8,1,5,5.7,5.8,2.3,0.9,-9.9,-15.6,-3.5,-12.4,-3.2,5.5,-2.2
1922,-15.8,-25.2,-11.4,-3.3,0.7,2.8,5.7,4.4,2.3,-1.7,-4.1,-15.8,-5.1,-18.9,-4.7,4.3,-1.2
1923,-16,-11.7,-7,-3.7,1.7,6.4,6.8,7.8,1,-3.1,-3.2,-10.4,-2.6,-14.5,-3,7,-1.8
1924,-13.2,-8.7,-8.4,-2.8,0.8,4,6.8,5.1,2.5,0.7,-8.2,-20.9,-3.5,-10.8,-3.5,5.3,-1.7
1925,-15.8,-16,-8.7,-3.2,0.8,4.5,6.5,5.4,0.3,-4.5,-4.3,-3.8,-3.2,-17.6,-3.7,5.5,-2.8
1926,-7.6,-4.7,-4.4,-1.3,0.7,3.6,5.2,4.2,-2.6,-1.9,-9,-13.3,-2.6,-5.4,-1.7,4.3,-4.5
1927,-17.1,-16.5,-7.8,-4.2,-0.4,5.1,6.1,4.4,0.6,-3,-15.6,-24.3,-6.1,-15.6,-4.1,5.2,-6
1928,-13.2,-10.8,-7.3,-2.6,2.7,7.2,8.1,6.1,1,-0.8,-3.2,-10.3,-1.9,-16.1,-2.4,7.1,-1
1929,-18,-19.5,-3.1,-4.3,1.6,7,6.5,6.8,2.6,0.8,-3.1,-12.3,-2.9,-15.9,-1.9,6.8,0.1
1930,-27,-6.4,-8.1,-0.1,0.8,6.6,6.8,6.4,1.5,-0.3,-3.1,-2.2,-2.1,-15.2,-2.5,6.6,-0.6
1931,-7,-7.9,-8.2,-0.9,1.5,6.2,7.1,6.3,2.8,0.7,-11.6,-12.6,-2,-5.7,-2.5,6.5,-2.7
1932,-13.3,-14,-9.4,-0.7,1.1,4.5,6.9,8,2.8,-0.5,-4,-16.1,-2.9,-13.3,-3,6.5,-0.6
1933,-14.2,-13.5,-10.8,-3.1,1,4.1,6.8,4.7,1.9,-2.6,0.9,-22,-3.9,-14.6,-4.3,5.2,0.1
1934,-9,-10.2,-5.5,0.2,2.2,5.3,7.5,6.7,1.6,0.8,-3,-12.8,-1.4,-13.7,-1,6.5,-0.2
1935,-20.4,-7.4,-11.3,-7.9,1,6.3,8,5.4,1.6,-1.7,-9.9,-4.6,-3.4,-13.5,-6.1,6.6,-3.3
1936,-13.8,-32.3,-7.3,-3.1,3.4,6.8,8.2,7,2.7,0.9,-3.5,-12.8,-3.7,-16.9,-2.3,7.3,0
1937,-27.3,-18.7,-3.4,-0.2,1.3,6.1,6.8,5.8,2.6,0.8,-8,-11.4,-3.8,-19.6,-0.8,6.2,-1.5
1938,-11.2,-15.3,-5.8,-2.4,0.9,5.1,7.1,6,5.6,0.9,-6.6,-11.1,-2.2,-12.6,-2.4,6.1,0
1939,-9.7,-17.4,-10,-2.1,2.7,4.6,7.6,5,3.4,0.7,0.7,-3.1,-1.5,-12.7,-3.1,5.7,1.6
1940,-15,-11,-2.5,0.7,2.6,4.6,8.9,7.2,3.5,0.1,-11.2,-8.5,-1.7,-9.7,0.3,6.9,-2.5
1941,-10.1,-11.5,-3.8,0.6,2.4,8.1,9.7,7.4,3.9,1.7,-3.2,-10.7,-0.5,-10,-0.3,8.4,0.8
1942,-9.5,-10.6,-5.5,-1,2.1,6.3,7.2,5,2.7,0.7,-9.7,-12.2,-2,-10.3,-1.5,6.2,-2.1
1943,-19.5,-8.5,-11,-0.3,1.3,6.3,7.5,7.7,2.4,0.2,-2.2,-6.8,-1.9,-13.4,-3.3,7.2,0.1
1944,-8.7,-9.8,-8.6,-0.5,2.2,6.6,7.7,7.7,4.6,1.1,-3.2,-13.8,-1.2,-8.4,-2.3,7.3,0.8
1945,-10.6,-10.6,-5,-3.5,2.5,5.7,6.8,5.6,2.6,-0.5,-11.8,-8.9,-2.3,-11.7,-2,6,-3.2
1946,-10.1,-11,-4.1,-1.8,2.6,6.7,7.6,5.2,2.3,-2,-10.6,-12.2,-2.3,-10,-1.1,6.5,-3.4
1947,-13.1,-10.7,-5.6,-0.4,2.2,5.8,7,5.1,2.9,0.1,-5.7,-7.2,-1.6,-12,-1.3,6,-0.9
1948,-10.2,-19.6,-10.1,-5.4,4.6,7.1,8.4,8.1,3.8,-1.6,-4.5,-17.9,-3.1,-12.3,-3.6,7.9,-0.8
1949,-20.1,-21.7,-8.1,0.3,2.3,4.2,7.1,5.7,2,-0.7,-1.1,-16.1,-3.9,-19.9,-1.8,5.7,0.1
1950,-35.7,-9.7,-9,-3.2,1.6,6,6.7,5,1.3,-2.9,-13.4,-10.3,-5.3,-20.5,-3.5,5.9,-5
1951,-20.7,-17.3,-11.6,-2.4,3,4.8,7.9,5.4,0.8,-2.5,-8,-17.3,-4.8,-16.1,-3.7,6,-3.2
1952,-18.2,-12.5,-8.9,-2.1,1.8,4.9,6.5,5.9,4.3,0.3,-4.8,-9.3,-2.7,-16,-3.1,5.8,-0.1
1953,-19,-8.9,-6.8,-3.2,2.8,6.5,7.8,6.8,2.5,0.8,-2.1,-6.7,-1.6,-12.4,-2.4,7,0.4
1954,-21.9,-7.1,-10.3,-6.8,2.6,5.5,6.6,7,4.1,-0.8,0.3,-8.4,-2.4,-11.9,-4.8,6.4,1.2
1955,-11.9,-11.9,-14.2,-2.7,0.7,5.7,7.9,4.7,1.5,-0.8,-18.2,-19.8,-4.9,-10.7,-5.4,6.1,-5.8
1956,-20.9,-17.9,-8.8,-2.1,1.4,6.4,7.2,7.3,2.5,-2.3,-6.1,-11.7,-3.8,-19.5,-3.2,7,-2
1957,-26.4,-18,-6.7,-0.9,3.6,5.2,8.3,7,4.6,-3.1,-2.3,-8.3,-3.1,-18.7,-1.3,6.8,-0.3
1958,-5.6,-12,-7.6,-1.2,3.3,9.2,9.1,6.5,4.1,1.8,-8.4,-8,-0.7,-8.6,-1.8,8.3,-0.8
1959,-16.2,-15.4,-3.3,-1.7,2.5,6.2,7.9,6.1,5.2,0.6,-9.2,-5.7,-1.9,-13.2,-0.8,6.7,-1.1
1960,-14.7,-9.5,-8.4,-0.8,1.7,6.2,7.9,6.9,2,2.2,-5.8,-9.9,-1.9,-10,-2.5,7,-0.5
1961,-10.2,-6.9,-4.5,-0.9,3.3,6.9,8.5,6.5,0.6,0.3,-9.8,-14,-1.7,-9,-0.7,7.3,-3
1962,-13.9,-13.1,-9.1,-0.4,2.5,4.8,7.8,8.6,3.2,1.9,-1,-6.6,-1.3,-13.7,-2.3,7.1,1.4
1963,-16.3,-5.4,-4.5,-0.9,1.4,5.5,8.2,8.8,7.8,2.1,-6.5,-8.8,-0.7,-9.4,-1.3,7.5,1.1
1964,-8.5,-3.7,-7.8,-1.6,2.2,7.9,8.6,7.2,3.1,0.6,-6.8,-19,-1.5,-7,-2.4,7.9,-1
1965,-13.7,-9.8,-11.3,-1.2,1.7,5.2,9.1,9.6,2.4,1.8,-7.5,-10.1,-2,-14.2,-3.6,8,-1.1
1966,-17.8,-7.2,-5.2,-3.2,3.4,5.3,8.6,7.5,5.2,0.1,-9.2,-8.3,-1.7,-11.7,-1.7,7.1,-1.3
1967,-12.4,-7.2,-9.3,-2.6,3,6.7,7.9,8.7,6.1,1.6,-4,-13,-1.2,-9.3,-3,7.8,1.2
1968,-12.9,-12.7,-2,-1,2.9,4.9,8.2,6.9,4.1,0.6,-3.9,-17.4,-1.9,-12.9,0,6.7,0.3
1969,-29,-13.8,-5.8,0.9,2.7,9,7.5,6.9,5,-1.9,-0.4,-5,-2,-20.1,-0.7,7.8,0.9
1970,-15.9,-6,-4.6,-2,2.6,6.8,6.8,7,3,-0.4,-10.3,-16.7,-2.5,-9,-1.3,6.9,-2.6
1971,-14.8,-9.3,-7.6,-0.2,2.3,7.2,9,9.1,3,-1.5,-3.1,-18.8,-2.1,-13.6,-1.8,8.4,-0.5
1972,-21.2,-13.4,-4.5,-2.2,2.2,7.1,7.7,7.5,2.6,-2,-4.2,-15.2,-3,-17.8,-1.5,7.4,-1.2
1973,-12.9,-10.1,-3.8,-1.3,3.1,6,7.6,5.3,3.5,0.5,-11,-8.5,-1.8,-12.7,-0.7,6.3,-2.3
1974,-19.3,-6.8,-7.2,-0.7,2.5,5.5,7.5,8.4,4.4,0.7,-5.9,-6.1,-1.4,-11.5,-1.8,7.1,-0.3
1975,-13.6,-16.7,-9,-3.8,2.2,6.2,10.8,7.7,3.3,1.1,-7.4,-9.9,-2.4,-12.1,-3.5,8.2,-1
1976,-9.1,-8.6,-7.6,-1.6,2.6,5.3,8.3,9.7,5.1,0.5,-3.1,-5.9,-0.4,-9.2,-2.2,7.8,0.8
1977,-10.7,-3.4,-3.3,0,3,6.5,7.9,8.8,3.4,1,-7.9,-17.3,-1,-6.7,-0.1,7.7,-1.2
1978,-15.8,-9.3,-4.5,0.2,2.5,7.3,9.1,7.7,4,1.7,-9.5,-14.9,-1.8,-14.1,-0.6,8,-1.3
1979,-22.8,-16.5,-4.2,-1.4,3.3,6.1,8.3,7.9,5.3,1.8,-6.7,-9.1,-2.3,-18.1,-0.8,7.4,0.1
1980,-17.3,-8.1,-6.4,-0.1,4.3,7.4,8.5,6.8,4.6,1.9,-1.9,-10.7,-0.9,-11.5,-0.7,7.6,1.5
1981,-6.2,-6.1,-3.7,-1.3,4.8,5.4,9.5,8.5,5.6,0.5,-1.8,-11.6,0.3,-7.7,-0.1,7.8,1.4
1982,-20.8,-15.3,-9.4,-3.9,2.5,7.7,10.5,8.3,6,1.5,-8.6,-9.4,-2.6,-15.9,-3.6,8.8,-0.4
1983,-8.2,-4.3,-5.2,-0.7,4.2,7.9,8.9,7.9,2.8,0.6,-3.2,-19.8,-0.8,-7.3,-0.6,8.2,0.1
1984,-6.6,-2.7,-3.1,-1.1,1.7,6.6,7.7,8.3,2.2,-2.3,-7,-18.3,-1.2,-9.7,-0.8,7.5,-2.4
1985,-8.3,-9.5,-4.1,-1.8,3.3,5.9,8.2,6.9,2.3,-0.2,-18.8,-9.8,-2.2,-12,-0.9,7,-5.6
1986,-5.6,-12.2,-1.9,-1,3.2,6.4,8.5,7.2,2.3,1,-7.7,-8.3,-0.7,-9.2,0.1,7.4,-1.5
1987,-7.3,-4.2,-4.8,-0.1,3,6.6,9.5,7.2,5.3,-0.6,-2.4,-6.7,0.5,-6.6,-0.6,7.8,0.8
1988,-14.2,-10.2,-3.2,-0.4,3.6,7.3,7.6,7.5,3.1,0.9,-3,-9.9,-0.9,-10.4,0,7.5,0.3
1989,-11,-18.4,-9.9,-0.6,3.4,7.2,8.8,8.7,4,0.6,-2.9,-5.4,-1.3,-13.1,-2.4,8.2,0.6
1990,-8.7,-11.9,-5.5,-1.4,4.2,7.5,9,8.9,4.4,-0.5,-8.3,-15.1,-1.5,-8.7,-0.9,8.5,-1.5
1991,-19.5,-1.9,-8,-1.2,3.3,7.4,8.8,9.7,4.7,-2.5,-3.3,-3.4,-0.5,-12.2,-2,8.6,-0.4
1992,-2.6,-5.4,-2.8,-0.2,2.7,10,8.7,7.3,4.8,0,-3.3,-15.3,0.3,-3.8,-0.1,8.7,0.5
1993,-19.4,-10.2,-4.5,0.1,6.7,7.8,9.5,7.4,3.1,0.7,-5.8,-5,-0.8,-15,0.8,8.2,-0.7
1994,-8.7,-14.7,-2.3,0.2,3.5,8.3,9.4,7.9,6.9,0.3,-5.3,-10.1,-0.4,-9.5,0.5,8.5,0.6
1995,-12,-7.4,-5.6,0,3.2,7.6,9.8,7.3,3.8,0.7,-5.9,-13.8,-1,-9.8,-0.8,8.2,-0.5
1996,-20.7,-8.9,-7.1,0.1,1.6,7.3,8.3,8.3,4.4,-1,-9.8,-17.4,-2.9,-14.5,-1.8,8,-2.1
1997,-12.6,-6.8,-6.8,-1.1,3.7,7.7,9.5,8.8,4.7,0.8,-3.4,-4.5,0,-12.3,-1.4,8.7,0.7
1998,-13.8,-4.2,-3.8,-0.8,6.8,8.9,11,9,4.6,1.3,-3.4,-8.6,0.6,-7.5,0.7,9.6,0.8
1999,-9.8,-6.1,-4.9,-1.1,2.9,7.3,8,9.2,3.6,-0.3,-2.1,-5.9,0.1,-8.2,-1,8.2,0.4
2000,-14.7,-9.9,-3.1,-0.7,2.4,7.4,10.1,8.6,3.9,0.4,-3.3,-11.1,-0.8,-10.2,-0.5,8.7,0.3
2001,-7.7,-14.3,-4.2,-1.5,3.2,5.7,9.4,8.7,4.2,-0.8,-3.6,-11.4,-1,-11,-0.8,7.9,-0.1
2002,-9.1,-7,-12,-2.6,2.4,7.1,8.9,7.3,4.3,-1.1,-2.1,-6.2,-0.8,-9.2,-4.1,7.8,0.4
2003,-8.4,-8.8,-7.5,-0.4,2.8,7.5,8.2,7.6,4.8,1,-8.2,-6.8,-0.7,-7.8,-1.7,7.8,-0.8
2004,-13.6,-6.8,-2.2,-0.9,3.6,8.7,9.8,9,4,0.2,-3.3,-7.7,0.1,-9.1,0.2,9.2,0.3
2005,-13.9,-7.3,-3.1,0.3,4.9,8.5,9.2,7.3,3.5,1,-3.5,-8.8,-0.2,-9.6,0.7,8.3,0.3
2006,-4.5,-10.1,-7.9,-0.4,3.7,8,10.2,6.4,5.2,-2.1,-9.9,-5.9,-0.6,-7.8,-1.5,8.2,-2.3
2007,-9.1,-7,-2.3,-1.8,2.9,6.9,10,7.2,4.2,1.6,-4.8,-12.4,-0.4,-7.3,-0.4,8,0.3
2008,-13.3,-10.5,-6.4,-2.5,5,6.6,9.1,9.5,4.5,0.7,-1.9,-14.6,-1.2,-12.1,-1.3,8.4,1.1
